type,question,answer,explanation
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Inception' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Inception."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Escape Plan' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Escape Plan."
2-hop_CoActor,Emily Stofle và Wallace Shawn có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Richard Gere có phải là cha/mẹ của Homer George Gere không?,No,"Sai, Richard Gere là con của Homer George Gere."
2-hop_CoActor,Adam Driver và Laura Harrier có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'BlacKkKlansman'."
Family_YesNo,Brandon Lee có phải là cha/mẹ của Bruce Lee không?,No,"Sai, Brandon Lee là con của Bruce Lee."
1-hop_YesNo,Jim Caviezel có tham gia bộ phim 'Escape Plan' không?,Yes,"Đúng, Jim Caviezel là diễn viên trong phim Escape Plan."
2-hop_CoActor,Emily Stofle và Marianne Wiggins có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Claire Danes có tham gia bộ phim 'Stardust' không?,Yes,"Đúng, Claire Danes là diễn viên trong phim Stardust."
Family_YesNo,David Fincher có phải là cha/mẹ của Jack Fincher không?,No,"Sai, David Fincher là con của Jack Fincher."
2-hop_CoActor,Stephen Colbert và Taylor Swift có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
Family_YesNo,Arnold Schwarzenegger có phải là cha/mẹ của Aurelia Schwarzenegger không?,No,"Sai, Arnold Schwarzenegger là con của Aurelia Schwarzenegger."
MCQ_Director,"Ai là đạo diễn của phim 'War for the Planet of the Apes'?
A. Matt Reeves
B. Brett Ratner
C. Akiva Goldsman
D. Colin Trevorrow",A,Đạo diễn của 'War for the Planet of the Apes' là Matt Reeves.
MCQ_Director,"Ai là đạo diễn của phim 'Police Story 2'?
A. Zack Snyder
B. Todd Phillips
C. Beyoncé
D. Jackie Chan",D,Đạo diễn của 'Police Story 2' là Jackie Chan.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim '3 Days to Kill' không?,No,"Sai, Martha Lynch Levacy không tham gia phim 3 Days to Kill."
1-hop_YesNo,Adam Scott có tham gia bộ phim 'The Aviator' không?,Yes,"Đúng, Adam Scott là diễn viên trong phim The Aviator."
MCQ_Director,"Ai là đạo diễn của phim 'The Aviator'?
A. Drew Pearce
B. Martin Scorsese
C. John Francis Daley
D. Frank Darabont",B,Đạo diễn của 'The Aviator' là Martin Scorsese.
MCQ_Director,"Ai là đạo diễn của phim 'Monuments Men'?
A. John Hamburg
B. George Clooney
C. Stephane Gauger
D. Jonathan Demme",B,Đạo diễn của 'Monuments Men' là George Clooney.
2-hop_CoActor,Johnny Knoxville và Daniel Henney có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Last Stand'."
1-hop_YesNo,Jaimie Alexander có tham gia bộ phim 'The Last Stand' không?,Yes,"Đúng, Jaimie Alexander là diễn viên trong phim The Last Stand."
1-hop_YesNo,Sylvester Stallone có tham gia bộ phim 'Men in Black' không?,Yes,"Đúng, Sylvester Stallone là diễn viên trong phim Men in Black."
2-hop_CoActor,Kyle MacLachlan và Virginia Madsen có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dune'."
2-hop_CoActor,Emily Stofle và John de Lancie có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Shelley Duvall có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'The Twilight Saga: Breaking Dawn – Part 1'?
A. Jonathan Demme
B. Q361336
C. Beyoncé
D. Bruce Lee",B,Đạo diễn của 'The Twilight Saga: Breaking Dawn – Part 1' là Q361336.
Family,Cha/Mẹ của Daniel Craig là ai?,Carol Olivia Williams,Carol Olivia Williams là cha/mẹ của Daniel Craig.
Family,Cha/Mẹ của Wallace Shawn là ai?,William Shawn,William Shawn là cha/mẹ của Wallace Shawn.
Family,Cha/Mẹ của Casey Affleck là ai?,Timothy Byers Affleck,Timothy Byers Affleck là cha/mẹ của Casey Affleck.
MCQ_Director,"Ai là đạo diễn của phim 'Inside Out'?
A. Oliver Stone
B. Tommy Wiseau
C. Tim Miller
D. Pete Docter",D,Đạo diễn của 'Inside Out' là Pete Docter.
Family,Cha/Mẹ của John Cusack là ai?,Dick Cusack,Dick Cusack là cha/mẹ của John Cusack.
Family_YesNo,Arnold Vosloo có phải là cha/mẹ của Johannes Daniel Vosloo không?,No,"Sai, Arnold Vosloo là con của Johannes Daniel Vosloo."
Family_YesNo,Michael Jackson có phải là cha/mẹ của Joe Jackson không?,No,"Sai, Michael Jackson là con của Joe Jackson."
Family,Cha/Mẹ của J. J. Abrams là ai?,Gerald W. Abrams,Gerald W. Abrams là cha/mẹ của J. J. Abrams.
1-hop_YesNo,Al Pacino có tham gia bộ phim 'Once Upon a Time in Hollywood' không?,Yes,"Đúng, Al Pacino là diễn viên trong phim Once Upon a Time in Hollywood."
2-hop_CoActor,Charlize Theron và Jennifer Morrison có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Host' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Host."
Family,Cha/Mẹ của Jim Carrey là ai?,Kathleen Carrey,Kathleen Carrey là cha/mẹ của Jim Carrey.
1-hop_YesNo,Bruce Lee có tham gia bộ phim 'Way of the Dragon' không?,Yes,"Đúng, Bruce Lee là diễn viên trong phim Way of the Dragon."
2-hop_CoActor,Emily Stofle và Grace Hightower có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Robert De Niro có phải là cha/mẹ của Robert De Niro Sr. không?,No,"Sai, Robert De Niro là con của Robert De Niro Sr.."
Family_YesNo,Dylan O'Brien có phải là cha/mẹ của Patrick O'Brien không?,No,"Sai, Dylan O'Brien là con của Patrick O'Brien."
Family,Cha/Mẹ của Daniel Craig là ai?,Timothy Wroughton Craig,Timothy Wroughton Craig là cha/mẹ của Daniel Craig.
Family_YesNo,Nora Ephron có phải là cha/mẹ của Phoebe Ephron không?,No,"Sai, Nora Ephron là con của Phoebe Ephron."
2-hop_CoActor,Stephen Root và Nicole Kidman có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family,Cha/Mẹ của Sean Gunn là ai?,Leota Gunn,Leota Gunn là cha/mẹ của Sean Gunn.
Family,Cha/Mẹ của Ed Harris là ai?,Bob L. Harris,Bob L. Harris là cha/mẹ của Ed Harris.
Family_YesNo,Leonardo DiCaprio có phải là cha/mẹ của George DiCaprio không?,No,"Sai, Leonardo DiCaprio là con của George DiCaprio."
1-hop_YesNo,Debra Winger có tham gia bộ phim 'E.T. the Extra-Terrestrial' không?,Yes,"Đúng, Debra Winger là diễn viên trong phim E.T. the Extra-Terrestrial."
2-hop_CoActor,Emily Stofle và Sun-jung Jung có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Passport to Love'?
A. Chris Buck
B. Barry Levinson
C. John Lasseter
D. Victor Vu",D,Đạo diễn của 'Passport to Love' là Victor Vu.
1-hop_YesNo,Emily Mortimer có tham gia bộ phim 'Shutter Island' không?,Yes,"Đúng, Emily Mortimer là diễn viên trong phim Shutter Island."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Sixth Sense' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Sixth Sense."
Family,Cha/Mẹ của Macaulay Culkin là ai?,Kit Culkin,Kit Culkin là cha/mẹ của Macaulay Culkin.
Family_YesNo,Helen Hunt có phải là cha/mẹ của Gordon Hunt không?,No,"Sai, Helen Hunt là con của Gordon Hunt."
Family_YesNo,Steven Spielberg có phải là cha/mẹ của Arnold Spielberg không?,No,"Sai, Steven Spielberg là con của Arnold Spielberg."
Family_YesNo,Chuck Norris có phải là cha/mẹ của Ray Norris không?,No,"Sai, Chuck Norris là con của Ray Norris."
MCQ_Director,"Ai là đạo diễn của phim 'Mulholland Drive'?
A. David Lynch
B. Stephane Gauger
C. James Foley
D. Gore Verbinski",A,Đạo diễn của 'Mulholland Drive' là David Lynch.
Family_YesNo,Dwayne Johnson có phải là cha/mẹ của Rocky Johnson không?,No,"Sai, Dwayne Johnson là con của Rocky Johnson."
MCQ_Director,"Ai là đạo diễn của phim 'Sin City'?
A. Paul Thomas Anderson
B. John Carpenter
C. Robert Rodriguez
D. Simon Kinberg",C,Đạo diễn của 'Sin City' là Robert Rodriguez.
2-hop_CoActor,Emily Stofle và Florence Spellman có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Step Up 2: The Streets'?
A. Matt Reeves
B. Jon Turteltaub
C. Jon M. Chu
D. Chris Columbus",C,Đạo diễn của 'Step Up 2: The Streets' là Jon M. Chu.
Family,Cha/Mẹ của Sylvester Stallone là ai?,Nicola Junakovic,Nicola Junakovic là cha/mẹ của Sylvester Stallone.
2-hop_CoActor,Emily Stofle và Bryan Cranston có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Dolph Lundgren có tham gia bộ phim 'The Expendables 3' không?,Yes,"Đúng, Dolph Lundgren là diễn viên trong phim The Expendables 3."
Family,Cha/Mẹ của Jack Dylan Grazer là ai?,Gavin Grazer,Gavin Grazer là cha/mẹ của Jack Dylan Grazer.
2-hop_CoActor,Emily Stofle và William Shawn có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Henry Ford có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Heist' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Heist."
Family,Cha/Mẹ của Donald Glover là ai?,Beverly Glover,Beverly Glover là cha/mẹ của Donald Glover.
Family_YesNo,Janet Jackson có phải là cha/mẹ của Joe Jackson không?,No,"Sai, Janet Jackson là con của Joe Jackson."
Family,Cha/Mẹ của Q3772 là ai?,Connie McHugh,Connie McHugh là cha/mẹ của Q3772.
2-hop_CoActor,Emily Stofle và Lucas Reiner có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Alvin and the Chipmunks' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Alvin and the Chipmunks."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Star Wars: Episode I – The Phantom Menace' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Star Wars: Episode I – The Phantom Menace."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Argylle' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Argylle."
2-hop_CoActor,Dolph Lundgren và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
2-hop_CoActor,Connie Britton và Brooke Smith có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Jaws' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Jaws."
Family_YesNo,Scott Eastwood có phải là cha/mẹ của Clint Eastwood không?,No,"Sai, Scott Eastwood là con của Clint Eastwood."
MCQ_Director,"Ai là đạo diễn của phim 'Insidious: The Red Door'?
A. Martin Scorsese
B. Stephane Gauger
C. Patrick Wilson
D. Frank Oz",C,Đạo diễn của 'Insidious: The Red Door' là Patrick Wilson.
2-hop_CoActor,Emily Stofle và Janice Karman có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'West Side Story' không?,No,"Sai, Martha Lynch Levacy không tham gia phim West Side Story."
MCQ_Director,"Ai là đạo diễn của phim 'The Irishman'?
A. Wally Pfister
B. Rob Marshall
C. Elizabeth Banks
D. Martin Scorsese",D,Đạo diễn của 'The Irishman' là Martin Scorsese.
1-hop_YesNo,Joseph Gordon-Levitt có tham gia bộ phim 'Snowden' không?,Yes,"Đúng, Joseph Gordon-Levitt là diễn viên trong phim Snowden."
Family_YesNo,Danny Huston có phải là cha/mẹ của John Huston không?,No,"Sai, Danny Huston là con của John Huston."
2-hop_CoActor,Timothy Olyphant và Scott Eastwood có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Star Wars: Episode V – The Empire Strikes Back' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Star Wars: Episode V – The Empire Strikes Back."
2-hop_CoActor,Emily Stofle và Jennifer Crystal Foley có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Yellow Flowers on the Green Grass'?
A. Channing Tatum
B. Steve Carr
C. Q361336
D. Victor Vu",D,Đạo diễn của 'Yellow Flowers on the Green Grass' là Victor Vu.
Family,Cha/Mẹ của Oprah Winfrey là ai?,Vernon Winfrey,Vernon Winfrey là cha/mẹ của Oprah Winfrey.
Family_YesNo,Sally Field có phải là cha/mẹ của Margaret Field không?,No,"Sai, Sally Field là con của Margaret Field."
Family,Cha/Mẹ của Cher là ai?,Georgia Holt,Georgia Holt là cha/mẹ của Cher.
Family,Cha/Mẹ của Romina Power là ai?,Tyrone Power,Tyrone Power là cha/mẹ của Romina Power.
2-hop_CoActor,Emily Stofle và Merrill Markoe có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Tropic Thunder'?
A. Ben Stiller
B. Paul Thomas Anderson
C. Akiva Schaffer
D. Jake Kasdan",A,Đạo diễn của 'Tropic Thunder' là Ben Stiller.
2-hop_CoActor,Jon Stewart và Pedro Pascal có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Adjustment Bureau'."
Family,Cha/Mẹ của Dylan O'Brien là ai?,Patrick O'Brien,Patrick O'Brien là cha/mẹ của Dylan O'Brien.
1-hop_YesNo,Bryce Dallas Howard có tham gia bộ phim 'Jurassic World' không?,Yes,"Đúng, Bryce Dallas Howard là diễn viên trong phim Jurassic World."
2-hop_CoActor,Timothy Olyphant và Shailene Woodley có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Snowden'."
MCQ_Director,"Ai là đạo diễn của phim 'Tarzan'?
A. Drew Pearce
B. Jon Watts
C. Chris Buck
D. Patrick Wilson",C,Đạo diễn của 'Tarzan' là Chris Buck.
Family,Cha/Mẹ của Nicole Kidman là ai?,Antony Kidman,Antony Kidman là cha/mẹ của Nicole Kidman.
2-hop_CoActor,Emily Stofle và Elizabeth Trump Grau có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Chuck Norris và Bruce Willis có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 2'."
Family_YesNo,Sandra Bullock có phải là cha/mẹ của Helga Meyer không?,No,"Sai, Sandra Bullock là con của Helga Meyer."
Family,Cha/Mẹ của Zac Efron là ai?,Starla Baskett,Starla Baskett là cha/mẹ của Zac Efron.
2-hop_CoActor,Emily Stofle và Kathleen Mary Chitty có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Owen Wilson có phải là cha/mẹ của Laura Wilson không?,No,"Sai, Owen Wilson là con của Laura Wilson."
1-hop_YesNo,Robert De Niro có tham gia bộ phim 'Killing Season' không?,Yes,"Đúng, Robert De Niro là diễn viên trong phim Killing Season."
2-hop_CoActor,Emily Stofle và Meinhard Schwarzenegger có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Mark Moses và Jennifer Morrison có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Draft Day' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Draft Day."
Family,Cha/Mẹ của Derek Hough là ai?,Bruce Robert Hough,Bruce Robert Hough là cha/mẹ của Derek Hough.
MCQ_Director,"Ai là đạo diễn của phim 'Snow White'?
A. David Fincher
B. Martin Scorsese
C. John Singleton
D. Marc Webb",D,Đạo diễn của 'Snow White' là Marc Webb.
Family,Cha/Mẹ của Paul Simon là ai?,Louis Simon,Louis Simon là cha/mẹ của Paul Simon.
2-hop_CoActor,Emily Stofle và Julia Cameron có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Chelsea Tyler có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Daniel Fowler có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Cristin Milioti có tham gia bộ phim 'The Wolf of Wall Street' không?,Yes,"Đúng, Cristin Milioti là diễn viên trong phim The Wolf of Wall Street."
2-hop_CoActor,Emily Stofle và George Buza có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Westworld'?
A. Michael Crichton
B. Richard Kelly
C. Jackie Chan
D. Barry Jenkins",A,Đạo diễn của 'Westworld' là Michael Crichton.
2-hop_CoActor,Stephen Root và Brooke Smith có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family_YesNo,Jackie Chan có phải là cha/mẹ của Lee-Lee Chan không?,No,"Sai, Jackie Chan là con của Lee-Lee Chan."
MCQ_Director,"Ai là đạo diễn của phim 'The Princess Bride'?
A. Patty Jenkins
B. Brett Ratner
C. Tommy Lee Jones
D. Rob Reiner",D,Đạo diễn của 'The Princess Bride' là Rob Reiner.
MCQ_Director,"Ai là đạo diễn của phim 'Watchmen'?
A. Zack Snyder
B. Drake Doremus
C. Christopher Nolan
D. James Wan",A,Đạo diễn của 'Watchmen' là Zack Snyder.
1-hop_YesNo,Arnold Schwarzenegger có tham gia bộ phim 'True Lies' không?,Yes,"Đúng, Arnold Schwarzenegger là diễn viên trong phim True Lies."
2-hop_CoActor,Harrison Ford và Ronda Rousey có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'The Expendables 3'."
2-hop_CoActor,Emily Stofle và Gabriel Elijah Simon có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'G.I. Joe: Retaliation' không?,No,"Sai, Martha Lynch Levacy không tham gia phim G.I. Joe: Retaliation."
Family_YesNo,Q463497 có phải là cha/mẹ của Rosemary Clooney không?,No,"Sai, Q463497 là con của Rosemary Clooney."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Creed III' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Creed III."
1-hop_YesNo,Jennifer Lawrence có tham gia bộ phim 'American Hustle' không?,Yes,"Đúng, Jennifer Lawrence là diễn viên trong phim American Hustle."
2-hop_CoActor,Emily Stofle và Belle Simon có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Emily Stofle và Rebbie Jackson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
Family_YesNo,Michael J. Fox có phải là cha/mẹ của Phyllis Piper không?,No,"Sai, Michael J. Fox là con của Phyllis Piper."
MCQ_Director,"Ai là đạo diễn của phim 'Doctor Strange'?
A. Greg Berlanti
B. Ryan Murphy
C. Lin-Manuel Miranda
D. Scott Derrickson",D,Đạo diễn của 'Doctor Strange' là Scott Derrickson.
MCQ_Director,"Ai là đạo diễn của phim 'Beauty and the Beast'?
A. Beyoncé
B. Greg Berlanti
C. Q361336
D. Jorma Taccone",C,Đạo diễn của 'Beauty and the Beast' là Q361336.
Family_YesNo,Christian Bale có phải là cha/mẹ của David Bale không?,No,"Sai, Christian Bale là con của David Bale."
2-hop_CoActor,Emily Stofle và Sunny Lynch có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'Who Am I?'?
A. Kathryn Bigelow
B. Michael Patrick King
C. Roland Emmerich
D. Jackie Chan",D,Đạo diễn của 'Who Am I?' là Jackie Chan.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Joker' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Joker."
2-hop_CoActor,Emily Stofle và Sage Stallone có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Douglas Smith và Arnold Schwarzenegger có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Terminator Genisys'."
1-hop_YesNo,Robert De Niro có tham gia bộ phim 'Once Upon a Time in America' không?,Yes,"Đúng, Robert De Niro là diễn viên trong phim Once Upon a Time in America."
2-hop_CoActor,Jimmy Fallon và Kim Kardashian có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Miss Americana'."
MCQ_Director,"Ai là đạo diễn của phim 'The Score'?
A. Frank Oz
B. Raja Gosnell
C. Elizabeth Banks
D. Donnie Yen",A,Đạo diễn của 'The Score' là Frank Oz.
MCQ_Director,"Ai là đạo diễn của phim 'Transformers: Dark of the Moon'?
A. James Wan
B. Wes Anderson
C. Q2444076
D. Michael Bay",D,Đạo diễn của 'Transformers: Dark of the Moon' là Michael Bay.
MCQ_Director,"Ai là đạo diễn của phim 'A.I. Artificial Intelligence'?
A. Marc Webb
B. Ben Stiller
C. Steven Spielberg
D. Matt Reeves",C,Đạo diễn của 'A.I. Artificial Intelligence' là Steven Spielberg.
2-hop_CoActor,Emily Stofle và Brandon Jackson có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Stephen Root và Ashley Greene có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
Family,Cha/Mẹ của Titus Welliver là ai?,Neil Welliver,Neil Welliver là cha/mẹ của Titus Welliver.
MCQ_Director,"Ai là đạo diễn của phim 'The Lost World: Jurassic Park'?
A. Jennifer Lee
B. Steven Spielberg
C. Marc Webb
D. Matt Reeves",B,Đạo diễn của 'The Lost World: Jurassic Park' là Steven Spielberg.
Family_YesNo,Christopher Reeve có phải là cha/mẹ của Barbara Pitney Lamb không?,No,"Sai, Christopher Reeve là con của Barbara Pitney Lamb."
Family,Cha/Mẹ của Oprah Winfrey là ai?,Vernita Lee Winfrey,Vernita Lee Winfrey là cha/mẹ của Oprah Winfrey.
1-hop_YesNo,Dakota Fanning có tham gia bộ phim 'Once Upon a Time in Hollywood' không?,Yes,"Đúng, Dakota Fanning là diễn viên trong phim Once Upon a Time in Hollywood."
2-hop_CoActor,Mark Moses và Charlize Theron có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
2-hop_CoActor,Emily Stofle và Brian Doyle-Murray có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
2-hop_CoActor,Eddie Murphy và Steve Zahn có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
Family,Cha/Mẹ của Seth Rogen là ai?,Mark Rogen,Mark Rogen là cha/mẹ của Seth Rogen.
MCQ_Director,"Ai là đạo diễn của phim 'Middle School: The Worst Years of My Life'?
A. Sylvester Stallone
B. Byron Howard
C. Richard Kelly
D. Steve Carr",D,Đạo diễn của 'Middle School: The Worst Years of My Life' là Steve Carr.
1-hop_YesNo,Robert De Niro có tham gia bộ phim 'Joker' không?,Yes,"Đúng, Robert De Niro là diễn viên trong phim Joker."
Family,Cha/Mẹ của Nora Ephron là ai?,Henry Ephron,Henry Ephron là cha/mẹ của Nora Ephron.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Artemis Fowl' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Artemis Fowl."
Family,Cha/Mẹ của Sarah Jessica Parker là ai?,Stephen Parker,Stephen Parker là cha/mẹ của Sarah Jessica Parker.
2-hop_CoActor,John DiMaggio và Mandy Moore có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Dr. Dolittle 2'."
MCQ_Director,"Ai là đạo diễn của phim 'Star Wars: Episode IV – A New Hope'?
A. Rich Moore
B. Akiva Schaffer
C. Destin Daniel Cretton
D. George Lucas",D,Đạo diễn của 'Star Wars: Episode IV – A New Hope' là George Lucas.
1-hop_YesNo,Macaulay Culkin có tham gia bộ phim 'Home Alone 2: Lost in New York' không?,Yes,"Đúng, Macaulay Culkin là diễn viên trong phim Home Alone 2: Lost in New York."
2-hop_CoActor,Emily Stofle và Katherine Schwarzenegger có từng đóng chung phim nào không?,No,"Không, không tìm thấy phim chung nào giữa họ."
MCQ_Director,"Ai là đạo diễn của phim 'War Dogs'?
A. Stephen Hillenburg
B. Todd Phillips
C. Oliver Stone
D. Rob Reiner",B,Đạo diễn của 'War Dogs' là Todd Phillips.
Family_YesNo,Donald Trump có phải là cha/mẹ của Mary Anne MacLeod Trump không?,No,"Sai, Donald Trump là con của Mary Anne MacLeod Trump."
MCQ_Director,"Ai là đạo diễn của phim 'The Wolf of Wall Street'?
A. M. Night Shyamalan
B. Adam McKay
C. Martin Scorsese
D. David O. Russell",C,Đạo diễn của 'The Wolf of Wall Street' là Martin Scorsese.
2-hop_CoActor,Stephen Root và Kate McKinnon có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'The Boy Next Door' không?,No,"Sai, Martha Lynch Levacy không tham gia phim The Boy Next Door."
Family,Cha/Mẹ của Peter Fonda là ai?,Henry Fonda,Henry Fonda là cha/mẹ của Peter Fonda.
1-hop_YesNo,Martha Lynch Levacy có tham gia bộ phim 'Game of Death II' không?,No,"Sai, Martha Lynch Levacy không tham gia phim Game of Death II."
Family,Cha/Mẹ của Christian Bale là ai?,David Bale,David Bale là cha/mẹ của Christian Bale.
Family,Cha/Mẹ của Dominique Dunne là ai?,Dominick Dunne,Dominick Dunne là cha/mẹ của Dominique Dunne.
MCQ_Director,"Ai là đạo diễn của phim 'Why Him?'?
A. John Hamburg
B. Adam McKay
C. Nora Ephron
D. David Fincher",A,Đạo diễn của 'Why Him?' là John Hamburg.
2-hop_CoActor,Brooke Smith và Jennifer Morrison có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'Bombshell'."
MCQ_Director,"Ai là đạo diễn của phim 'Elizabethtown'?
A. Christopher Nolan
B. Terry Gilliam
C. Cameron Crowe
D. Michael Bay",C,Đạo diễn của 'Elizabethtown' là Cameron Crowe.
2-hop_CoActor,Adam Driver và Corey Hawkins có từng đóng chung phim nào không?,Yes,"Có, họ cùng đóng trong phim 'BlacKkKlansman'."
Family,Cha/Mẹ của Johnny Depp là ai?,John Christopher Depp,John Christopher Depp là cha/mẹ của Johnny Depp.
1-hop_YesNo,Bobby Cannavale có tham gia bộ phim 'The Irishman' không?,Yes,"Đúng, Bobby Cannavale là diễn viên trong phim The Irishman."
